slug,desa,kecamatan,kabupaten,provinsi,last_scraped,hero_ada_foto,pengurus_jumlah_foto,pengurus_jumlah_orang,unit_usaha_ada_data,unit_usaha_jumlah_foto,unit_usaha_jumlah_foto_unik,produk_usaha_jumlah_foto,produk_usaha_jumlah_foto_unik,galeri_jumlah_foto,galeri_jumlah_foto_unik,galeri_skor,artikel_jumlah_foto,artikel_jumlah_foto_unik,completeness_score,scrape_incomplete,potensi_jumlah_terisi,penduduk_laki_laki,penduduk_perempuan,penduduk_total,potensi_nilai_total_rp,potensi_sdm_total,potensi_jumlah_jenis,kode_desa,artikel_tanggal_lokal_terbaru,artikel_hari_sejak_update_lokal,artikel_jumlah_lokal,artikel_jumlah_nasional,artikel_ada_nasional,tentang_ada_konten,potensi_ada_data,pengurus_terisi,pengurus_foto_asli,produk_usaha_ada,artikel_ada_lokal,pengurus_data_belum_ada,personel_completeness,keaktifan_score,kelengkapan_usaha_score,kopdes_density_kecamatan,penduduk_total_calc,penduduk_data_konsisten,kopdes_per_1000_penduduk,kopdes_per_1000_penduduk_log,kopdes_lq_kecamatan,personel_completeness_zscore_kabupaten,keaktifan_score_zscore_kabupaten,kelengkapan_usaha_score_zscore_kabupaten,digital_readiness_score,potensi_nilai_outlier_suspect,potensi_nilai_total_rp_capped,lof_outlier,pengurus_jumlah_foto_capped,unit_usaha_jumlah_foto_capped,unit_usaha_jumlah_foto_unik_capped,produk_usaha_jumlah_foto_capped,produk_usaha_jumlah_foto_unik_capped,galeri_jumlah_foto_capped,galeri_jumlah_foto_unik_capped,artikel_jumlah_foto_capped,artikel_jumlah_foto_unik_capped,potensi_sdm_total_capped,penduduk_total_capped,cluster_k7,publikasi_konten_score,kelengkapan_profil_score,indeks_digitalisasi_operasional,log_potensi_nilai,log_potensi_jumlah
abianbase-kecamatan-mengwi,Abianbase,Mengwi,Kabupaten Badung,Bali,2026-07-23 13:16:28,False,0,10,False,0,0,0,0,0,0,0,0,0,30.0,False,2,3926,3946,7872,2,2,2,51.03.02.1014,,,0,3,True,False,True,True,False,False,False,False,0.0,0.0,0.0,6,7872,True,0.13318239328760736,0.12502995169115594,2.0,,-0.833,-0.895,0.0,False,2.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7872.0,1,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098
abio-ahiolo-kecamatan-elpaputih,Abio Ahiolo,Elpaputih,Kabupaten Seram Bagian Barat,Maluku,2026-07-23 14:16:42,False,0,6,False,0,0,0,0,0,0,0,0,0,30.0,False,16,6350,5600,1195,5700000000,1150,16,81.06.11.2006,,,0,3,True,False,True,True,False,False,False,False,0.0,0.0,0.0,1,11950,False,0.08368200836820085,0.08036450976802709,0.571,,,,0.0,False,5700000000.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,1195.0,1,0.0,0.0,0.0,22.463732011962353,2.833213344056216
abung-jayo-kecamatan-abung-selatan,Abung Jayo,Abung Selatan,Kabupaten Lampung Utara,Lampung,2026-07-23 12:01:28,False,1,4,False,0,0,0,0,0,0,0,0,0,25.0,False,0,3774,3602,7376,0,0,0,18.03.07.2012,,,0,3,True,False,False,True,True,False,False,False,0.25,0.0,0.0,7,7376,True,0.1524191090014371,0.14186330600800634,1.495,0.332,-0.557,-1.616,0.11545,False,0.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7376.0,5,0.0,0.0,0.0897,0.0,0.0
abusur-kecamatan-kisar-selatan,Abusur,Kisar Selatan,Kabupaten Maluku Barat Daya,Maluku,2026-07-23 14:16:51,False,0,6,False,0,0,0,0,0,0,0,0,0,15.0,False,0,3810,3980,7790,0,0,0,81.08.07.2004,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,5,7790,True,0.10936132983377078,0.10378447120236058,2.273,-0.302,,,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7790.0,5,0.0,0.0,0.0,0.0,0.0
aceh-kecamatan-pajar-bulan,Aceh,Pajar Bulan,Kabupaten Lahat,Sumatera Selatan,2026-07-23 12:01:28,False,0,3,False,0,0,0,0,0,0,0,0,0,15.0,False,0,4020,3680,7700,0,0,0,16.04.12.2019,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,19,7700,True,0.15097338100913787,0.14060800263403453,1.317,-0.837,-0.814,-2.379,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7700.0,5,0.0,0.0,0.0,0.0,0.0
adam-kecamatan-pulau-pulau-batu-timur,Adam,Pulau-Pulau Batu Timur,Kabupaten Nias Selatan,Sumatera Utara,2026-07-23 12:01:28,True,0,6,True,1,1,0,0,20,1,1,0,0,36.0,False,0,1320,1420,2740,0,0,0,12.14.16.2007,,,0,3,True,False,False,True,False,False,False,False,0.0,0.02882,0.5444666666666667,1,2740,True,0.36496350364963503,0.3111276910264617,0.406,-0.297,2.094,2.913,0.200417308,False,0.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,2740.0,6,0.0,0.5252,0.26857668,0.0,0.0
adang-kecamatan-alor-barat-laut,Adang,Alor Barat Laut,Kabupaten Alor,Nusa Tenggara Timur,2026-07-23 13:22:35,True,0,6,True,2,2,0,0,40,2,2,0,0,52.0,False,1,1311,1251,2562,21750000,210,1,53.05.02.1002,,,0,3,True,False,True,True,False,False,False,False,0.0,0.05764,0.6266333333333334,3,2562,True,0.16409583196586805,0.15194467578791276,1.5,-0.373,0.141,0.875,0.235212536,False,21750000.0,False,0,2.0,2.0,0.0,0.0,40.0,2.0,0.0,0.0,210.0,2562.0,3,0.0,0.5252,0.28622608,16.89512436147598,0.6931471805599453
adi-jaya-kecamatan-negara-batin,Adi Jaya,Negara Batin,Kabupaten Way Kanan,Lampung,2026-07-24 11:50:22,False,0,6,True,1,1,0,0,20,1,1,0,0,41.0,False,5,166,1533,3193,9321873000,222,5,18.08.11.2012,,,0,3,True,False,True,True,False,False,False,False,0.0,0.02882,0.5444666666666667,11,1699,False,0.17111833610752453,0.15795913510974266,1.788,-0.456,-0.425,0.409,0.200417308,False,9321873000.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,222.0,3193.0,3,0.0,0.0,0.11695143999999999,22.955629411225527,1.791759469228055
adi-jaya-kecamatan-tebing-tinggi,Adi Jaya,Tebing Tinggi,Kabupaten Tanjung Jabung Barat,Jambi,2026-07-23 12:01:28,False,0,6,False,0,0,0,0,0,0,0,0,0,15.0,False,0,6190,5240,1143,0,0,0,15.06.06.2004,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,5,11430,False,0.09624639076034648,0.09189197234795474,1.622,-0.194,-0.263,-0.433,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1143.0,5,0.0,0.0,0.0,0.0,0.0
adi-mulyo-kecamatan-panca-jaya,Adi Mulyo,Panca Jaya,Kabupaten Mesuji,Lampung,2026-07-24 11:52:48,False,0,3,False,0,0,0,0,0,0,0,0,0,30.0,False,1,1176,1144,232,390000000,0,1,18.11.06.2004,,,0,3,True,False,True,True,False,False,False,False,0.0,0.0,0.0,4,2320,False,0.42662116040955633,0.355308823507689,0.615,-0.767,-0.695,-1.227,0.0,False,390000000.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,1,0.0,0.0,0.0,19.781657299652068,0.6931471805599453
adiankoting-kecamatan-adiankoting,Adian Koting,Adiankoting,Kabupaten Tapanuli Utara,Sumatera Utara,2026-07-23 12:01:28,False,0,6,False,0,0,0,0,0,0,0,0,0,15.0,False,0,9670,9410,1908,0,0,0,12.02.03.2008,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,13,19080,False,0.10682882734817979,0.1014990142620148,1.788,-0.237,-0.245,-0.329,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1908.0,5,0.0,0.0,0.0,0.0,0.0
adikarso-kecamatan-kebumen,Adikarso,Kebumen,Kabupaten Kebumen,Jawa Tengah,2026-07-23 12:01:28,False,0,6,True,1,1,0,0,20,1,1,0,0,26.0,False,0,2209,2089,4298,0,0,0,33.05.12.2011,,,0,3,True,False,False,True,False,False,False,False,0.0,0.02882,0.5444666666666667,29,4298,True,0.23773804546535174,0.21328555693390255,1.672,-0.515,-0.386,-0.546,0.200417308,False,0.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,4298.0,6,0.0,0.0,0.11695143999999999,0.0,0.0
adikarto-kecamatan-adimulyo,Adikarto,Adimulyo,Kabupaten Kebumen,Jawa Tengah,2026-07-23 12:01:28,False,0,6,True,1,1,0,0,20,1,1,0,0,36.0,False,0,102,1031,2051,0,0,0,33.05.15.2007,,,0,3,True,True,False,True,False,False,False,False,0.0,0.02882,0.5444666666666667,23,1133,False,0.08793998669429766,0.08428598762409203,1.326,-0.515,-0.386,-0.546,0.200417308,False,0.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,2051.0,6,0.0,0.4748,0.2540262,0.0,0.0
adikarto-kecamatan-muntilan,Adikarto,Muntilan,Kabupaten Magelang,Jawa Tengah,2026-07-23 12:01:28,True,8,8,True,2,2,0,0,40,2,2,1,1,77.0,False,9,1783,1774,3557,4790000000,1910,9,33.08.08.2005,2026-05-05,85.0,1,0,False,True,True,True,True,False,True,False,1.0,0.5457794542698873,0.6266333333333334,13,3557,True,0.18723355225256366,0.17162585469989006,0.781,2.371,4.573,0.62,0.7845847540960178,False,4790000000.0,False,8,2.0,2.0,0.0,0.0,40.0,2.0,1.0,1.0,1910.0,3557.0,2,0.6655284940160435,1.0,0.8738106664754108,22.289796248578003,2.302585092994046
adil-makmur-kecamatan-bosar-maligas,Adil Makmur,Bosar Maligas,Kabupaten Simalungun,Sumatera Utara,2026-07-23 12:01:28,False,0,6,False,0,0,0,0,0,0,0,0,0,15.0,False,0,1394,1327,2721,0,0,0,12.08.08.2012,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,11,2721,True,0.14165400365724884,0.1324780912974844,1.73,-0.495,-0.458,-1.402,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2721.0,5,0.0,0.0,0.0,0.0,0.0
adilmakmur-kecamatan-cengal,Adil Makmur,Cengal,Kabupaten Ogan Komering Ilir,Sumatera Selatan,2026-07-23 12:01:28,False,0,6,False,0,0,0,0,0,0,0,0,0,15.0,False,0,1610,1470,3080,0,0,0,16.02.18.2013,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,8,3080,True,0.1784598911394664,0.16420840899177636,1.352,-0.423,-0.38,-0.533,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3080.0,5,0.0,0.0,0.0,0.0,0.0
adiluhur-kecamatan-adimulyo,Adiluhur,Adimulyo,Kabupaten Kebumen,Jawa Tengah,2026-07-23 12:01:28,True,6,6,True,4,4,0,0,80,4,4,27,27,64.0,False,0,9060,8410,1747,0,0,0,33.05.15.2011,2026-02-10,169.0,10,17,True,True,False,True,True,False,True,False,1.0,0.7553331347421086,0.7088,23,17470,False,0.08793998669429766,0.08428598762409203,1.326,2.556,5.003,0.827,0.8518036043727344,False,0.0,False,6,4.0,4.0,0.0,0.0,80.0,4.0,18.764235376052365,18.764235376052365,0.0,1747.0,2,0.9090093430676299,1.0,0.9250117274747194,0.0,0.0
adiluwih-kecamatan-adiluwih,Adiluwih,Adiluwih,Kabupaten Pringsewu,Lampung,2026-07-24 11:52:00,True,0,6,False,0,0,0,0,0,0,0,0,0,25.0,False,0,2122,2009,4131,0,0,0,18.10.07.2001,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,10,4131,True,0.16697835960459523,0.15441780952031198,0.879,-0.556,-0.511,-3.136,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4131.0,5,0.0,0.5252,0.15162524,0.0,0.0
adimulya-kecamatan-wanareja,Adimulya,Wanareja,Kabupaten Cilacap,Jawa Tengah,2026-07-23 12:01:28,False,0,6,True,1,1,0,0,20,1,1,0,0,41.0,False,2,5697,567,11367,5284500000,2,2,33.01.15.2012,,,0,3,True,False,True,True,False,False,False,False,0.0,0.02882,0.5444666666666667,16,6264,False,0.1797571032142817,0.16530857255497883,1.438,-1.222,-0.721,-0.634,0.200417308,False,5284500000.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,2.0,11367.0,3,0.0,0.0,0.11695143999999999,22.388043844602908,1.0986122886681098
adimulyo-kecamatan-adimulyo,Adimulyo,Adimulyo,Kabupaten Kebumen,Jawa Tengah,2026-07-23 12:01:28,False,0,6,True,2,2,0,0,40,2,2,0,0,27.0,False,0,1184,1192,2376,0,0,0,33.05.15.2008,,,0,3,True,False,False,True,False,False,False,False,0.0,0.05764,0.6266333333333334,23,2376,True,0.08793998669429766,0.08428598762409203,1.326,-0.515,-0.172,0.14,0.235212536,False,0.0,False,0,2.0,2.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,2376.0,6,0.0,0.0,0.13460084,0.0,0.0
adinuso-kecamatan-reban,Adinuso,Reban,Kabupaten Batang,Jawa Tengah,2026-07-23 12:01:28,False,0,6,True,1,1,0,0,20,1,1,0,0,26.0,False,0,1824,1812,3636,0,0,0,33.25.04.2008,,,0,3,True,False,False,True,False,False,False,False,0.0,0.02882,0.5444666666666667,19,3636,True,0.1246432905828714,0.11746591034001772,1.163,-0.587,-0.33,-0.27,0.200417308,False,0.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,3636.0,6,0.0,0.0,0.11695143999999999,0.0,0.0
adinuso-kecamatan-subah,Adinuso,Subah,Kabupaten Batang,Jawa Tengah,2026-07-23 12:01:28,False,0,6,True,1,1,0,0,20,1,1,0,0,41.0,False,7,2399,2323,4722,7,438,7,33.25.09.2020,,,0,3,True,False,True,True,False,False,False,False,0.0,0.02882,0.5444666666666667,17,4722,True,0.18621158016956207,0.17076468278384246,1.041,-0.587,-0.33,-0.27,0.200417308,False,7.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,438.0,4722.0,3,0.0,0.0,0.11695143999999999,2.0794415416798357,2.0794415416798357
adipala-kecamatan-adipala,Adipala,Adipala,Kabupaten Cilacap,Jawa Tengah,2026-07-23 12:01:28,True,6,6,True,2,2,0,0,40,2,2,7,7,67.0,False,1,6581,6385,12966,10516870000,0,1,33.01.03.2009,2025-11-13,258.0,4,3,True,False,True,True,True,False,True,False,1.0,0.6895584337879148,0.6266333333333334,16,12966,True,0.14375432386052236,0.13431611802494867,1.438,1.056,2.002,0.193,0.8103787030215519,False,10516870000.0,False,6,2.0,2.0,0.0,0.0,40.0,2.0,7.0,7.0,0.0,12966.0,2,0.8987041079745366,0.5252,0.7688675060788912,23.07624647156356,0.6931471805599453
adipuro-kecamatan-kaliangkrik,Adipuro,Kaliangkrik,Kabupaten Magelang,Jawa Tengah,2026-07-23 12:01:28,False,0,2,False,0,0,0,0,0,0,0,0,0,15.0,False,0,1767,1662,3429,0,0,0,33.08.13.2020,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,20,3429,True,0.14285612245626816,0.13353049977335868,1.202,-0.543,-0.537,-1.892,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3429.0,5,0.0,0.0,0.0,0.0,0.0
adipuro-kecamatan-trimurjo,Adi Puro,Trimurjo,Kabupaten Lampung Tengah,Lampung,2026-07-23 12:01:28,True,0,6,True,1,1,0,0,20,1,1,0,0,61.0,False,5,3521,3384,6905,19769000000,1106,5,18.02.05.1003,,,0,3,True,True,True,True,False,False,False,False,0.0,0.02882,0.5444666666666667,13,6905,True,0.1745177269737284,0.16085761821172295,2.131,-0.466,-0.336,0.53,0.200417308,False,19769000000.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,1106.0,6905.0,3,0.0,1.0,0.40565144,23.707380891210796,1.791759469228055
adiraja-kecamatan-adipala,Adiraja,Adipala,Kabupaten Cilacap,Jawa Tengah,2026-07-23 12:01:28,True,6,6,True,2,2,0,0,40,2,2,2,2,72.0,False,5,3366,3291,6657,3368600000,411,5,33.01.03.2012,,,0,2,True,True,True,True,True,False,False,False,1.0,0.40144,0.6266333333333334,16,6657,True,0.14375432386052236,0.13431611802494867,1.438,1.056,0.815,0.193,0.758690256,False,3368600000.0,False,6,2.0,2.0,0.0,0.0,40.0,2.0,2.0,2.0,411.0,6657.0,2,0.5376,1.0,0.8561821199999999,21.93776306502542,1.791759469228055
adireja-kulon-kecamatan-adipala,Adireja Kulon,Adipala,Kabupaten Cilacap,Jawa Tengah,2026-07-23 12:01:28,True,6,6,True,2,2,0,0,40,2,2,2,2,77.0,False,1,8990,8790,1778,9406800000,224,1,33.01.03.2010,2025-11-11,260.0,1,1,True,True,True,True,True,False,True,False,1.0,0.6894525384541332,0.6266333333333334,16,17780,False,0.14375432386052236,0.13431611802494867,1.438,1.056,2.002,0.193,0.8103597053986715,False,9406800000.0,False,6,2.0,2.0,0.0,0.0,40.0,2.0,2.0,2.0,224.0,1778.0,2,0.8985699572152125,1.0,0.9059237801042563,22.964698669053256,0.6931471805599453
adireja-wetan-kecamatan-adipala,Adireja Wetan,Adipala,Kabupaten Cilacap,Jawa Tengah,2026-07-23 12:01:28,True,6,6,True,2,2,0,0,40,2,2,1,1,72.0,False,2,1943,1951,3894,577500000,125,2,33.01.03.2011,,,0,1,True,True,True,True,True,False,False,False,1.0,0.22954,0.6266333333333334,16,3894,True,0.14375432386052236,0.13431611802494867,1.438,1.056,0.106,0.193,0.727851396,False,577500000.0,False,6,2.0,2.0,0.0,0.0,40.0,2.0,1.0,1.0,125.0,3894.0,0,0.2688,1.0,0.8191414800000001,20.174219002091824,1.0986122886681098
adirejo-kecamatan-pekalongan,Adirejo,Pekalongan,Kabupaten Lampung Timur,Lampung,2026-07-23 12:01:28,True,0,6,True,1,1,0,0,20,1,1,6,6,66.0,False,3,2566,2486,5052,4377960000,247,3,18.07.04.2002,2025-11-18,253.0,2,4,True,True,True,True,False,False,True,False,0.0,0.6610137000434949,0.5444666666666667,10,5052,True,0.20719376761147026,0.18829846577715342,1.959,-0.736,3.006,0.453,0.313832857787803,False,4377960000.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,6.0,6.0,247.0,5052.0,3,0.899052821896895,1.0,0.5295409188573921,22.19984869964171,1.3862943611198906
adisana-kecamatan-bumiayu,Adisana,Bumiayu,Kabupaten Brebes,Jawa Tengah,2026-07-23 12:01:28,False,1,6,True,1,1,0,0,20,1,1,0,0,61.0,False,2,4591,4539,913,7049000000,0,2,33.29.03.2001,,,0,3,True,True,True,True,True,False,False,False,0.16666666666666666,0.02882,0.5444666666666667,6,9130,False,0.11808001889280302,0.1116129454210412,1.391,0.143,-0.379,-0.419,0.2773839746666666,False,7049000000.0,False,1,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,913.0,3,0.0,0.4748,0.3138262,22.676151599880015,1.0986122886681098
aditirto-kecamatan-pejagoan,Aditirto,Pejagoan,Kabupaten Kebumen,Jawa Tengah,2026-07-23 12:01:28,False,0,6,False,0,0,0,0,0,0,0,0,0,15.0,False,0,1794,1703,3497,0,0,0,33.05.13.2006,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,13,3497,True,0.16040669266077687,0.14877054079482305,0.749,-0.515,-0.599,-5.071,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3497.0,5,0.0,0.0,0.0,0.0,0.0
